Time(s)	kb1X	kb1Y	kb2X	kb2Y	kb3X	kb3Y	kb4X	kb4Y	kb5X	kb5Y	kb6X	kb6Y	kb7X	kb7Y	kb8X	kb8Y	kb9X	kb9Y	kb10X	kb10Y	kb11X	kb11Y	kb12X	kb12Y	kb13X	kb13Y	kb14X	kb14Y	kb15X	kb15Y	kb16X	kb16Y	kb17X	kb17Y	kb18X	kb18Y	kb19X	kb19Y	kb20X	kb20Y	kb21X	kb21Y	kb22X	kb22Y	kb23X	kb23Y	kb24X	kb24Y	kb25X	kb25Y	
31	0.753093	1.00388	0.712036	0.943358	0.662712	0.886283	0.611674	0.835292	0.560487	0.789042	0.698605	1.04337	0.661261	0.984557	0.613407	0.933646	0.562413	0.882906	0.510576	0.834803	0.654998	1.08131	0.612487	1.03452	0.565498	0.985553	0.514497	0.934484	0.461773	0.885123	0.610442	1.13241	0.562663	1.08559	0.512519	1.03679	0.464414	0.985387	0.410341	0.935229	0.559007	1.17413	0.511334	1.13287	0.461948	1.08361	0.41142	1.03411	0.361486	0.9838	
32	0.758506	1.00422	0.717447	0.943059	0.668095	0.885473	0.617081	0.834513	0.565827	0.788351	0.703871	1.04428	0.666589	0.984009	0.618702	0.932573	0.567671	0.881774	0.515867	0.834085	0.660333	1.08257	0.617835	1.03384	0.570856	0.984384	0.519802	0.933219	0.467038	0.884065	0.614762	1.13196	0.567952	1.08458	0.51777	1.03569	0.469737	0.984165	0.415555	0.934146	0.56425	1.17294	0.516675	1.13218	0.467273	1.08278	0.416691	1.03311	0.366862	0.983172	
33	0.761255	1.00358	0.720119	0.942406	0.670718	0.884689	0.619459	0.833548	0.568003	0.787445	0.706762	1.04394	0.668992	0.983333	0.621313	0.931552	0.570318	0.880734	0.518491	0.83301	0.662345	1.08298	0.620368	1.03276	0.573259	0.983458	0.522454	0.932252	0.469663	0.883082	0.614868	1.13187	0.570539	1.08345	0.520475	1.03471	0.472308	0.983274	0.418238	0.933157	0.566791	1.17152	0.519354	1.13102	0.469944	1.08165	0.419396	1.03204	0.369551	0.982068	
34	0.767887	1.00204	0.726726	0.940792	0.677243	0.882702	0.625769	0.830895	0.574169	0.784653	0.713438	1.04311	0.675457	0.981435	0.627632	0.929083	0.576602	0.878249	0.524687	0.830398	0.669064	1.08402	0.626587	1.03008	0.57968	0.981039	0.528868	0.929922	0.47597	0.880676	0.620231	1.12922	0.576755	1.08078	0.52682	1.03243	0.47877	0.981061	0.424518	0.930813	0.572643	1.16813	0.525547	1.12829	0.476166	1.07898	0.425678	1.02959	0.375802	0.979403	
35	0.774129	1.00069	0.732946	0.939368	0.683391	0.880926	0.631737	0.828518	0.579986	0.782112	0.719706	1.0424	0.681545	0.979751	0.633592	0.926854	0.582529	0.876004	0.530529	0.828033	0.675378	1.08507	0.632463	1.02767	0.585739	0.978855	0.534923	0.927843	0.481915	0.878505	0.625602	1.12669	0.582626	1.07837	0.532802	1.03039	0.484862	0.979073	0.430435	0.928703	0.578156	1.165	0.531397	1.12582	0.482041	1.07657	0.431611	1.02739	0.381706	0.976997	
36	0.77952	1.00128	0.738337	0.939904	0.688825	0.881141	0.637191	0.828244	0.585348	0.781619	0.724941	1.04347	0.686891	0.980052	0.63899	0.926651	0.587899	0.87579	0.535859	0.8277	0.679333	1.08662	0.637843	1.02734	0.591215	0.978729	0.540362	0.927825	0.487279	0.878361	0.630914	1.12613	0.587999	1.07803	0.538159	1.03037	0.490309	0.979111	0.435753	0.928605	0.583427	1.16391	0.534812	1.12526	0.487417	1.07622	0.436971	1.02726	0.387107	0.976664	
37	0.783046	1.00328	0.743243	0.942281	0.693925	0.883127	0.642393	0.830001	0.590505	0.783242	0.729671	1.04604	0.691755	0.982352	0.644155	0.928335	0.593064	0.877399	0.540944	0.82941	0.6799	1.08696	0.642967	1.02909	0.596477	0.980378	0.545622	0.92936	0.49242	0.880018	0.636038	1.12771	0.592557	1.0795	0.543285	1.03206	0.495566	0.980676	0.440859	0.930224	0.588714	1.165	0.539942	1.12697	0.492537	1.07798	0.442088	1.02898	0.392237	0.978456	
38	0.788229	1.00488	0.748578	0.943225	0.699344	0.883556	0.647841	0.830398	0.595868	0.783725	0.734919	1.04705	0.697	0.983431	0.64955	0.928544	0.598437	0.877489	0.546262	0.829892	0.684882	1.08914	0.648332	1.02961	0.601953	0.980428	0.551061	0.929226	0.497784	0.880154	0.641349	1.12836	0.597923	1.07994	0.548642	1.03217	0.50101	0.980546	0.446178	0.930291	0.594078	1.16553	0.545299	1.12754	0.497895	1.07854	0.447446	1.02921	0.397612	0.979089	
39	0.79198	1.00463	0.752286	0.942589	0.70302	0.882676	0.651484	0.829356	0.599453	0.782693	0.738567	1.04639	0.700683	0.982921	0.653142	0.927458	0.601976	0.876298	0.549824	0.82888	0.688651	1.08932	0.651526	1.02894	0.605561	0.979222	0.554638	0.927997	0.50133	0.879002	0.644009	1.12778	0.601511	1.07891	0.552182	1.03101	0.50461	0.97937	0.449695	0.929144	0.597685	1.16459	0.548911	1.12657	0.501506	1.07757	0.451001	1.0281	0.401251	0.978168	
40	0.796895	1.00345	0.757251	0.941431	0.707982	0.881372	0.656195	0.827619	0.603698	0.780756	0.743463	1.04466	0.705625	0.981981	0.657959	0.925805	0.606766	0.874419	0.554547	0.826863	0.693872	1.08874	0.655715	1.0278	0.609828	0.977565	0.559449	0.926234	0.506104	0.877202	0.648379	1.12597	0.606081	1.07703	0.557027	1.02918	0.509335	0.977743	0.454533	0.927372	0.602407	1.16251	0.553693	1.12446	0.506296	1.07552	0.455848	1.02619	0.40606	0.976137	
41	0.803537	1.00197	0.763876	0.939891	0.714576	0.879625	0.662618	0.825251	0.609831	0.777891	0.749815	1.04245	0.712242	0.980709	0.664373	0.923596	0.613055	0.871944	0.560724	0.824208	0.700657	1.08802	0.662214	1.02588	0.616244	0.975134	0.565862	0.923899	0.512412	0.874798	0.654616	1.12346	0.612345	1.07446	0.563336	1.02681	0.5158	0.975538	0.460822	0.925054	0.608579	1.15974	0.559897	1.12175	0.512524	1.07286	0.462136	1.02375	0.41232	0.973493	
42	0.809233	1.00136	0.769561	0.939246	0.720257	0.878797	0.668226	0.823917	0.615224	0.776082	0.755324	1.0412	0.717884	0.980291	0.669943	0.922366	0.618542	0.870483	0.566131	0.822587	0.706403	1.08803	0.667828	1.02494	0.62185	0.973721	0.571452	0.922586	0.517907	0.8734	0.659998	1.12168	0.617825	1.07294	0.56883	1.02544	0.521419	0.974318	0.466287	0.92373	0.613975	1.15795	0.565337	1.12008	0.517983	1.07125	0.467624	1.02234	0.417808	0.971895	
43	0.814376	1.00307	0.77472	0.940907	0.725503	0.880253	0.673581	0.824988	0.620583	0.776621	0.76056	1.04227	0.722419	0.981877	0.675234	0.923459	0.623847	0.871355	0.571424	0.823297	0.711503	1.09001	0.673031	1.02634	0.627247	0.974676	0.57681	0.923592	0.523194	0.874331	0.665208	1.12032	0.621446	1.07322	0.5741	1.02642	0.526226	0.975165	0.471521	0.924706	0.619331	1.15846	0.570677	1.12078	0.523316	1.07202	0.4729	1.0233	0.423162	0.972679	
44	0.818124	1.00506	0.779765	0.942913	0.730713	0.881846	0.678841	0.8265	0.625766	0.778141	0.765523	1.0443	0.727309	0.984082	0.680434	0.924954	0.629084	0.87261	0.576552	0.824838	0.716706	1.09163	0.678027	1.0284	0.632598	0.975894	0.582165	0.924611	0.528422	0.875591	0.670187	1.11836	0.624557	1.07414	0.579304	1.02774	0.531587	0.976181	0.476717	0.925895	0.624507	1.15999	0.57583	1.1224	0.528455	1.07369	0.478092	1.02469	0.428305	0.974418	
